"row_number","ingredient_description","recipeIngredient","optional","substitutions?"
45,"4  basil leaves (finely chopped)","basil",,
46,"basil or mint leaves (finely chopped (optional))","basil",TRUE,
47,"basil or thai basil","basil",,
48,"1  bay leaf","bay leaves",,
49,"2  bay leaves","bay leaves",,
50,"6  bay leaves","bay leaves",,
51,"bay leaves","bay leaves",,
52,"bean sprouts","bean sprouts",,
53,"bean sprouts ((optional))","bean sprouts",TRUE,
54,"beans","beans",,
55,"1 cup beans or pulled pork or ground beef","beans",,
56,"1 lb beef chuck or other cut","beef",,
57,"beef or chicken stock instead of water","broth",,
58,"beets","beets",,
59,"2-3  beets (peeled and grated)","beets",,
60,"1  bell pepper","bell pepper",,
61,"1  bell pepper (chopped)","bell pepper",,
62,"1/2 large bell pepper (diced)","bell pepper",,
63,"1 cup bell pepper (or other vegetable that can stand up to cooking) (finely chopped)","bell pepper",,
64,"bell pepper sticks","bell pepper",,
65,"bell peppers","bell pepper",,
66,"bell peppers (chopped)","bell pepper",,
67,"3 cups berries or chopped fruit","berries",,
68,"2 cups black beans","black beans",,
69,"1 cup black beans","black beans",,
70,"1/2 cup black beans (rinsed and drained)","black beans",,
71,"1 3/4 cups black beans ((approximately 1 can))","black beans",,
72,"1 15 oz can black beans (drained and rinsed)","black beans",,
73,"6  black olives (chopped)","olives",,
74,"1 cup black-eyed peas (dried)","black-eyed peas",,
75,"3 cups blueberries","blueberries",,
76,"blueberry and lemon","blueberries",,
77,"4 slices bread","bread",,
78,"6 slices bread","bread",,
79,"4 slices bread (toasted (or use naan bread or flatbread like I did!))","bread",,
80,"4 slices day old bread (cubed or torn into pieces)","bread",,
81,"2-4 slices pumpernickel bread","bread",,
82,"toast or pita bread (for serving)","bread",,
83,"2 cups bread (cubes)","bread",,
84,"2 cups bread cubes","bread",,
85,"1/2 cup bread crumbs ((optional))","bread",TRUE,
86,"breadcrumbs","bread",,
87,"breadcrumbs on top","bread",,
88,"8 cups broccoli (chopped)","broccoli",,
89,"1 cup broccoli (chopped)","broccoli",,
90,"1 head broccoli (chopped)","broccoli",,
91,"broccoli","broccoli",,
92,"1 large broccoli crown with stem","broccoli",,
93,"broccoli florets","broccoli",,
94,"1  crown and stem of broccoli (chopped)","broccoli",,
95,"1 crown broccoli (chopped into small pieces)","broccoli",,
96,"3 cups broccoli (finely chopped)","broccoli",,
97,"1 stock broccoli (chopped (both florets and stems))","broccoli",,
98,"1 bunch broccoli rabe (chopped)","broccoli rabe",,
99,"1/2 cup brown rice","rice",,
100,"1/2 - 3/4 cup brown rice syrup","brown rice syrup",,
101,"1/4 cup brown sugar","brown sugar",,
102,"2 Tbsp brown sugar","brown sugar",,
103,"2 Tbsp  brown sugar","brown sugar",,
104,"1 cup brown sugar","brown sugar",,
105,"1/3 cup brown sugar","brown sugar",,
106,"1 Tbsp brown sugar","brown sugar",,
107,"1 Tbsp  brown sugar","brown sugar",,
108,"1 cup dark brown sugar","brown sugar",,
109,"1 1/2 cups dark brown sugar","brown sugar",,
110,"1 1/4 cups dark brown sugar","brown sugar",,
111,"3/4 cup dark brown sugar (packed)","brown sugar",,
112,"1/2 cup brown sugar (packed)","brown sugar",,
113,"1 1/3 cups brown sugar (packed)","brown sugar",,
114,"1 lb brussels sprouts","brussels sprouts",,
115,"brussels sprouts","brussels sprouts",,
116,"4 cups brussels sprouts (finely chopped)","brussels sprouts",,
117,"8  hamburger buns","rolls",,
118,"6 to 8  hot dog buns","rolls",,
119,"2  buns (brioche  (or whatever  you like!))","rolls",,
120,"2 Tbsp butter","butter",,
121,"1 Tbsp butter","butter",,
122,"4 Tbsp butter","butter",,
123,"1/4 cup butter","butter",,
124,"3 Tbsp butter","butter",,
125,"1/2 cup butter","butter",,
126,"5 Tbsp butter","butter",,
127,"2  Tbsp butter","butter",,
128,"1 tsp butter","butter",,
129,"1 1/2 tsps butter","butter",,
130,"1 Tbsp butter or ghee","butter",,
131,"1/3 cup butter or lard","butter",,
132,"1 Tbsp butter or oil","butter",,
133,"1 Tbsp butter or olive oil","butter",,
134,"butter or vegetable oil","butter",,
135,"1 Tbsp butter or vegetable oil","butter",,
136,"1/2 Tbsp ghee or butter","butter",,
137,"1 Tbsp ghee or butter","butter",,
138,"1 1/2 sticks unsalted butter (softened (6 oz))","butter",,
139,"1/2 cup unsalted butter ((1 stick))","butter",,
140,"1 cup unsalted butter ((2 sticks))","butter",,
141,"butter (for   cooking)","butter",,
142,"4 Tbsp butter (melted)","butter",,
143,"1/2 cup butter ((one stick))","butter",,
144,"1/2 cup butter ((1 stick))","butter",,
145,"1/2 cup butter (at room temperature (1 stick))","butter",,
146,"1 Tbsp butter (melted)","butter",,
147,"1/2 cup butter (1 stick)","butter",,
148,"1/4 cup butter ((1/2 stick))","butter",,
149,"1 cup butter (at room temperature (2 sticks))","butter",,
150,"2 Tbsp butter ((more as needed))","butter",,
151,"1/2 cup  butter ((1 stick) melted)","butter",,
152,"1 cup butter ((2 sticks) at room temperature)","butter",,
153,"1/4 cup butter (melted (1/2 stick))","butter",,
154,"1/4 cup butter (room temperature (1/2 stick))","butter",,
155,"1 1/2 cups butter beans, navy beans or cannelini beans","butter beans",,
156,"1  butternut squash ((or other winter squash))","butternut squash",,
157,"cabbage (chopped)","cabbage",,
158,"1  napa cabbage ((approximately 2 lb))","cabbage",,
159,"1/2 small red cabbage (shredded)","cabbage",,
160,"1 small red cabbage (shredded)","cabbage",,
161,"1/2 small red cabbage (shredded (about 4 cups))","cabbage",,
162,"shredded cabbage","cabbage",,
163,"1 small or 1/2 large cabbage (cored and chopped)","cabbage",,
164,"1/4 cup canola oil","canola oil",,
165,"1 tsp cardamom","cardamom",,
166,"1/2 tsp cardamom","cardamom",,
167,"1 tsp cardamom powder","cardamom",,
168,"1 Tbsp black cardamom pods","cardamom",,
169,"1 Tbsp green cardamom pods","cardamom",,
170,"4 to 6  green cardamom pods","cardamom",,
171,"grated carrot","carrots",,
172,"2 cups carrot (grated)","carrots",,
173,"carrot sticks","carrots",,
174,"2 large carrots (chopped)","carrots",,
175,"4  medium carrots (chopped)","carrots",,
176,"carrots","carrots",,
177,"4 large carrots (shredded (about 2 cups))","carrots",,
178,"1 lb carrots (sliced)","carrots",,
179,"1 cup carrots (grated)","carrots",,
180,"2 large carrots (shredded or grated)","carrots",,
181,"4 medium carrots (sliced)","carrots",,
182,"carrots (grated)","carrots",,
183,"1 Tbsp cashew butter","cashew butter",,
184,"1 head cauliflower (chopped)","cauliflower",,
185,"cauliflower","cauliflower",,
186,"1 head cauliflower (cut into bite-sized florets)","cauliflower",,
187,"1 head cauliflower (cut into small pieces)","cauliflower",,
188,"1  cauliflower (roughly chopped)","cauliflower",,
189,"1/2 head cauliflower (chopped (about 2-3 cups))","cauliflower",,
190,"1/2  cauliflower (chopped into small pieces)","cauliflower",,
191,"cauliflower florets","cauliflower",,
192,"2 cups cavatappi or elbow macaroni ((approximately 1/2 lb or 1/2 standard box))","cavatappi",,
193,"1/2 tsp cayenne","cayenne pepper",,
194,"1/4 tsp cayenne","cayenne pepper",,
195,"1/4 tsp cayenne (powder)","cayenne pepper",,
196,"1 tsp cayenne (or to taste)","cayenne pepper",,
197,"1/2 tsp cayenne pepper","cayenne pepper",,
198,"1 tsp cayenne pepper","cayenne pepper",,
199,"1/2 tsp  cayenne pepper","cayenne pepper",,
200,"1/2 tsp cayenne powder","cayenne pepper",,
201,"1 tsp cayenne powder","cayenne pepper",,
202,"1 tsp cayenne pepper ((or less if you don't like it spicy))","cayenne pepper",,
203,"1/4 tsp cayenne pepper ((optional))","cayenne pepper",TRUE,
204,"3  celery stalks (chopped)","celery",,
205,"1 stalk celery (chopped)","celery",,
206,"2 sticks celery (chopped)","celery",,
207,"2 Tbsp celery seeds","celery seeds",,
208,"sharp cheddar (to cover the toast)","cheddar cheese",,
209,"1/2 cup sharp cheddar (grated)","cheddar cheese",,
210,"3 cups sharp cheddar (grated)","cheddar cheese",,
211,"cheddar or queso fresco (for sprinkling)","cheddar cheese",,
212,"1/2 cup cheddar (grated)","cheddar cheese",,
213,"12 oz cheddar (finely cubed)","cheddar cheese",,
214,"6 oz cheddar (grated)","cheddar cheese",,
215,"1 1/2 cups  cheddar (grated)","cheddar cheese",,
216,"cheddar (grated (to taste))","cheddar cheese",,
217,"1 1/2 cups cheddar (grated)","cheddar cheese",,
218,"4 oz cheddar (diced)","cheddar cheese",,
219,"1/2 cup cheddar cheese","cheddar cheese",,
220,"2  to  3 cups cheddar cheese of Monterey jack (grated)","cheddar cheese",,
221,"2 cups cheddar cheese (grated)","cheddar cheese",,
222,"1/2 cup cheddar cheese (grated)","cheddar cheese",,
223,"cheddar cheese (to taste (optional))","cheddar cheese",TRUE,
224,"1 cup cheddar cheese (grated (or other cheese))","cheddar cheese",,
225,"cheese","cheese",,
226,"1 cup cheese (grated)","cheese",,
227,"chicken pork or beef","chicken",,
228,"2  chicken breasts or thighs (chopped into bite-size pieces)","chicken",,
229,"2  chicken breasts (boneless and skinless)","chicken",,
230,"8  chicken pieces","chicken",,
231,"8  chicken thighs (fat trimmed)","chicken",,
232,"skewer the chicken and bbq it instead","chicken",,
233,"chicken schmaltz ((instead of vegetable oil))","chicken schmaltz",,
234,"1/4 cup chickpeas","chickpeas",,
235,"1 cup chickpeas (cooked or canned)","chickpeas",,
236,"2 1/2 cups chickpeas (cooked and drained)","chickpeas",,
237,"1 15 oz can chickpeas (drained)","chickpeas",,
238,"2 cups dried chickpeas (or 2 cans chickpeas drained and rinsed)","chickpeas",,
239,"1 can chickpeas ((approximately 1 1/2 cups))","chickpeas",,
240,"chile peppers (chopped)","Chili pepper",,
241,"1 tsp chile sauce","chili sauce",,
242,"chile sauce (to taste)","chili sauce",,
243," chiles (finely chopped)","chiles",,
244,"1/2 tsp chile flakes","chili flakes",,
245,"1/2-1 tsp chile flakes","chili flakes",,
246,"1/2 tsp  chile flakes","chili flakes",,
247,"2 Tbsp  chile flakes or dried red chiles","chili flakes",,
248,"chili flakes","chili flakes",,
249,"1 tsp chili flakes","chili flakes",,
250,"chile powder (to taste)","chili powder",,
251,"1/2 tsp chili powder","chili powder",,
252,"6  dried chilies","chiles",,
253,"1 Tbsp chimichurri (make your own!)","chimichurri",,
254,"2 tsp chipotle chile sauce en adobo ((or any chile sauce)","chipotle",,
255,"1  chipotle in adobo (finely chopped)","chipotle",,
256,"1 Tbsp chipotle in adobo (finely chopped)","chipotle",,
257,"2  chipotle in adobo (finely chopped)","chipotle",,
258,"1 1/2 tsp chipotle in adobo (finely chopped)","chipotle",,
259,"3 oz dark chocolate","chocolate",,
260,"1 1/2 cups chocolate chips","chocolate chips",,
261,"1 cup chocolate chips","chocolate chips",,
262,"1/2 cup chocolate chips ((optional))","chocolate chips",TRUE,
263,"2 cups chocolate chips (chips (or sub 1 cup  chips and 1 cup chopped nuts))","chocolate chips",,
264,"chorizo and green chile","chorizo",,
265,"chorizo or ground beef (added along when cooking the onion)","chorizo",,
266,"1/2 lb mexican chorizo (casing removed)","chorizo",,
267,"2 Tbsp chorizo (cooked)","chorizo",,
268,"2 Tbsp  cilantro (chopped)","cilantro",,
269,"1/2 bunch cilantro (chopped)","cilantro",,
270,"2 Tbsp cilantro","cilantro",,
271,"cilantro (chopped)","cilantro",,
272," cilantro (chopped)","cilantro",,
273,"1 Tbsp cilantro","cilantro",,
274," cilantro","cilantro",,
275,"1/2 bunch cilantro","cilantro",,
276,"cilantro instead of parsley and lime zest instead of lemon","cilantro",,
277,"1/2 cup cilantro or basil (chopped)","cilantro",,
278,"cilantro (fresh)","cilantro",,
279,"cilantro (to taste (optional))","cilantro",TRUE,
280," cilantro (to taste chopped)","cilantro",,
281,"1/4 cup cilantro (finely chopped)","cilantro",,
282,"cilantro (finely chopped (add at the end))","cilantro",,
283,"1/4 cup  cilantro (finely chopped)","cilantro",,
284,"cilantro (chopped (to taste))","cilantro",,
285,"cilantro (chopped (optional))","cilantro",TRUE,
286,"cilantro (to taste)","cilantro",,
287,"2 Tbsp cilantro stalks (finely chopped (optional))","cilantro",TRUE,
288,"1 tsp cinnamon","cinnamon",,
289,"2 tsp cinnamon","cinnamon",,
290,"1/4 tsp cinnamon","cinnamon",,
291,"1/2 to 1 tsp cinnamon","cinnamon",,
292,"1/2 tsp cinnamon","cinnamon",,
293,"1/2 tsp cinnamon or orange zest","cinnamon",,
294,"1 Tbsp cinnamon ((optional))","cinnamon",TRUE,
295,"1 stick cinnamon","cinnamon sticks",,
296,"1  cinnamon stick","cinnamon sticks",,
297,"2 medium cinnamon sticks","cinnamon sticks",,
298,"2  cinnamon sticks (smashed into pieces)","cinnamon sticks",,
299,"1 tsp clove powder","cloves",,
300,"1/2 tsp cloves","cloves",,
301,"5  cloves","cloves",,
302,"1/4 tsp cloves","cloves",,
303,"1 tsp cloves","cloves",,
304,"1/4 tsp ground cloves","cloves",,
305,"12  whole cloves","cloves",,
306,"2 Tbsp cocoa nibs","cocoa",,
307,"1/2 cup cocoa powder","cocoa",,
308,"3/4 cup cocoa powder","cocoa",,
309,"1/3 cup cocoa powder","cocoa",,
310,"1/2 cup coconut","coconut flakes",,
311,"2/3 cup shaved, unsweetened coconut","coconut flakes",,
312,"1/4 cup shredded coconut","coconut flakes",,
313,"1/2 cup shredded coconut (unsweetened)","coconut flakes",,
314,"coconut flakes","coconut flakes",,
315,"1/2 cup coconut flakes ((unsweetened))","coconut flakes",,
316,"1 5.4 oz can coconut cream ((unsweetened))","coconut milk",,
317,"1 can coconut milk","coconut milk",,
318,"1/4 cup coconut milk","coconut milk",,
319,"1 13.5 oz can coconut milk (full fat only)","coconut milk",,
320,"1 can coconut milk ((replace equivalent amount of broth))","coconut milk",,
321,"1 can coconut milk ((instead of water))","coconut milk",,
322,"1/2  - 1 cup coconut milk ((can use water as well))","coconut milk",,
323,"1/2 -1 cup coconut milk ((or water))","coconut milk",,
324,"2  cod fillets","cod",,
325,"2 Tbsp coffee (ground)","coffee",,
326,"1 bunch collards","collards",,
327,"collards and bacon","collards",,
328,"3 cups collards, chard, spinach or scallions (finely chopped)","collards",,
329,"1 cup confectioners sugar","confectioners sugar",,
330,"4 cups confectioners sugar","confectioners sugar",,
331,"cooked vegetables","cooked vegetables",,
332,"1 tsp  coriander","coriander",,
333,"1/2 tsp coriander","coriander",,
334,"3 tsp coriander powder","coriander",,
335,"1 tsp coriander powder","coriander",,
336,"1  tsp  coriander powder","coriander",,
337,"2 Tbsp coriander seeds","coriander seeds",,
338,"1 cup corn kernels ( or frozen)","coriander seeds",,
339,"2 cobs corn","corn",,
340,"4 cobs corn","corn",,
341,"corn","corn",,
342,"1/2 cup corn (canned or fresh)","corn",,
343,"1/4 cup corn syrup","corn syrup",,
344,"4  corn tortillas","tortillas",,
345,"6 small corn tortillas","tortillas",,
346,"8 to 12  corn tortillas","tortillas",,
347,"1/2 cup cornmeal","cornmeal",,
348,"1 cup cornmeal","cornmeal",,
349,"3/4 cup cornmeal","cornmeal",,
350,"2 tsp cornstarch","cornstarch",,
351,"1 Tbsp cornstarch","cornstarch",,
352,"1 tsp cornstarch","cornstarch",,
353,"2 Tbsp cornstarch or flour","cornstarch",,
354,"1 Tbsp cornstarch (+3 Tbsp milk)","cornstarch",,
355,"2 oz cotija or feta (crumbled)","cotija",,
356,"1/2 cup cotija, queso blanco, feta, Parmesan or Romano (grated)","cotija",,
357,"1  cup heavy cream","cream",,
358,"2 Tbsp heavy cream ((optional))","cream",TRUE,
359,"8 oz cream cheese","cream cheese",,
360,"2 oz cream cheese (room temperature)","cream cheese",,
361,"4 ounces cream cheese (diced)","cream cheese",,
362,"1 cup cucumber (chopped)","cucumber",,
363,"1  cucumber (chopped)","cucumber",,
364,"1/2  cucumber (chopped)","cucumber",,
365,"cucumber (chopped)","cucumber",,
366,"cucumber and lemon","cucumber",,
367,"cucumber slices (to serve)","cucumber",,
368,"2 inches cucumber (finely chopped)","cucumber",,
369,"1  cucumber (finely chopped)","cucumber",,
370,"2 small field cucumbers (chopped (or 1 English cucumber))","cucumber",,
371,"6 lbs field cucumbers or small hothouse cucumber ((approximately))","cucumber",,
372,"1 tsp cumin","cumin",,
373,"1/2 tsp cumin","cumin",,
374,"1 tsp cumin powder","cumin",,
375,"2 tsp cumin powder","cumin",,
376,"1/2 tsp cumin (powder)","cumin",,
377,"1 tsp cumin seeds","cumin seeds",,
378,"1 1/2 tsps cumin seeds","cumin seeds",,
379,"1/2 tsp cumin seeds","cumin seeds",,
380,"3 Tbsp curry powder","curry powder",,
381,"1 Tbsp curry powder ((use as alternative to the above spices. Do not use otherwise))","curry powder",,
382,"4 tsp curry powder ((or a tsp each of coriander, turmeric, cayenne and cumin))","curry powder",,
383,"1  daikon radish (shredded (about 1 cup) (optional))","daikon radish",TRUE,
384,"daikon radish (sliced)","daikon radish",,
385,"1  daikon radish (peeled and cut into matchsticks)","daikon radish",,
386,"12 oz dark beer ((or sub. 6 oz beer and 6 oz milk))","dark beer",,
387,"5  dates","dates",,
388,"1 Tbsp dijon","dijon mustard",,
389,"1 Tbsp dijon mustard","dijon mustard",,
390,"2 Tbsp dijon mustard","dijon mustard",,
391,"2 tsp  dijon mustard","dijon mustard",,
392,"2 tsp dijon mustard","dijon mustard",,
393," dill","dill",,
394,"1 tsp  dill (chopped)","dill",,
395,"1/4 cup  dill (chopped)","dill",,
396," dill (chopped)","dill",,
397,"1/2 cup  dill (chopped)","dill",,
398,"2 Tbsp dill (chopped)","dill",,
399,"dill instead of parsley and feta instead of Romano","dill",,
400,"12 sprigs dill ((optional))","dill",TRUE,
401,"2 Tbsp dill seeds","dill",,
402,"dried fruit","dried fruit",,
403,"any dry spice combination you prefer","Misc",,
404,"1 lb egg noodles","egg noodles",,
405,"eggplant","eggplant",,
406,"1  egg","eggplant",,
407,"1 large egg","eggplant",,
408,"1  large egg","eggplant",,
409,"1  egg ((for brushing))","eggplant",,
410,"1  egg (for egg washing the pie crust)","eggplant",,
411,"1 large egg ((optional))","eggplant",TRUE,
412,"1  egg ((optional))","eggplant",TRUE,
413,"1 large egg yolk","eggplant",,
414,"1  egg yolk","eggplant",,
415,"4 large egg yolks","eggplant",,
416,"1 large eggplant (cubed)","eggplant",,
417,"2  eggs","eggs",,
418,"2 large eggs","eggs",,
419,"4  eggs","eggs",,
420,"12  eggs","eggs",,
421,"6  eggs","eggs",,
422,"2  large eggs","eggs",,
423,"5 large eggs","eggs",,
424,"4 large eggs","eggs",,
425,"3 large eggs","eggs",,
426,"8 large eggs","eggs",,
427,"hard boiled egg","eggs",,
428,"1  raw egg yolk (from a high-quality  egg)","eggs",,
429,"2 large eggs (lightly beaten)","eggs",,
430,"3/4 cup farro","farro",,
431,"fennel","fennel",,
432,"2 Tbsp fennel seeds","fennel",,
433,"1 Tbsp fennel seeds","fennel",,
434,"2 Tbsp feta (crumbled)","feta",,
435,"1/2 lb fettucine","fettuccine",,
436,"1 lb fingerling potatoes","potatoes",,
437,"1/4 cup fish sauce","fish sauce",,
438,"2 Tbsp fish sauce","fish sauce",,
439,"1 Tbsp fish sauce ((optional))","fish sauce",TRUE,
440,"2 cups all purpose flour","flour",,
441,"1 tsp all purpose flour","flour",,
442,"1 1/4 cups all purpose flour","flour",,
443,"3 1/4 cups all purpose flour","flour",,
444,"1 cup  all purpose flour","flour",,
445,"1 Tbsp all purpose flour","flour",,
446,"4 1/2 cups all purpose flour","flour",,
447,"1 1/2 cups all purpose flour","flour",,
448,"1/2 cup all purpose flour","flour",,
449,"4 cups all purpose flour","flour",,
450,"1 cup all purpose flour","flour",,
451,"2 Tbsp all purpose flour","flour",,
452,"3/4 cup all purpose flour or bread flour","flour",,
453,"3 cups all-purpose or bread flour","flour",,
454,"1 1/2 cups all-purpose or whole wheat flour","flour",,
455,"1   1/2 cups flour","flour",,
456,"1 Tbsp flour","flour",,
457,"2 Tbsp flour","flour",,
458,"flour (for dusting)","flour",,
459,"3 to 4 medium flour tortillas","tortillas",,
460,"2 cups fruit (chopped)","fruit",,
461,"1/2 tsp garam masala (powder)","garam masala",,
462,"1 clove garlic","garlic",,
463,"1 clove garlic (grated)","garlic",,
464,"1 clove garlic (finely grated (optional))","garlic",TRUE,
465,"4 cloves garlic (chopped)","garlic",,
466,"garlic","garlic",,
467,"2 cloves garlic","garlic",,
468,"4 cloves garlic","garlic",,
469,"3 cloves garlic","garlic",,
470,"2 to 3 cloves garlic","garlic",,
471,"whole garlic cloves (unpeeled)","garlic",,
472,"3 cloves garlic (finely chopped)","garlic",,
473,"2 cloves garlic (finely chopped)","garlic",,
474,"2 to 3 cloves garlic (finely chopped)","garlic",,
475,"4 cloves garlic (finely chopped)","garlic",,
476,"2 cloves garlic (unpeeled)","garlic",,
477,"1 tsp garlic (finely chopped)","garlic",,
478,"2 to 3 cloves garlic (diced)","garlic",,
479,"2 cloves garlic (minced)","garlic",,
480,"4 cloves garlic (finely grated)","garlic",,
481,"3 cloves garlic (minced or grated)","garlic",,
482,"3 cloves garlic (minced)","garlic",,
483,"3 cloves garlic (finely diced)","garlic",,
484,"2  cloves garlic (finely chopped)","garlic",,
485,"12 cloves garlic ((optional))","garlic",TRUE,
486,"6 cloves garlic (finely chopped)","garlic",,
487,"3 cloves garlic (grated)","garlic",,
488,"4  cloves garlic (finely chopped)","garlic",,
489,"2 cloves garlic (sliced thinly)","garlic",,
490,"2 to 3 cloves garlic (minced)","garlic",,
491,"4 cloves roasted garlic (minced)","garlic",,
492,"1/2 tsp garlic powder","garlic powder",,
493,"1 tsp garlic powder","garlic powder",,
494,"1 Tbsp ginger (grated)","ginger",,
495,"1 ginger (grated)","ginger",,
496,"1 Tbsp ginger (grated (use frozen))","ginger",,
497,"1/4  ginger (grated)","ginger",,
498,"1/2 ginger (minced or grated)","ginger",,
499,"1/4 cup  ginger (peeled and finely chopped)","ginger",,
500,"1 Tbsp ginger (finely grated)","ginger",,
501,"1 ginger (cut into medallions)","ginger",,
502,"1 tsp ginger (grated)","ginger",,
503,"1  large ginger root","ginger",,
504,"1 tsp ginger root (grated)","ginger",,
505,"ginger root (grated)","ginger",,
506,"1 Tbsp ginger root (finely grated)","ginger",,
507,"1 Tbsp ginger root (grated)","ginger",,
508,"1 tsp ginger powder","ginger powder",,
509,"1 Tbsp ginger syrup (make the ginger syrup!)","ginger syrup",,
510,"2 oz goat cheese ((chevre))","goat cheese",,
511,"2 to 3 oz goat cheese ((chevre))","goat cheese",,
512,"1 1/2 Tbsps gochujang (paste)","gochujang paste",,
513,"3 Tbsps gochujang paste","gochujang paste",,
514,"1 1/2 Tbsps gochujang paste","gochujang paste",,
515,"2 cups graham cracker crumbs","graham cracker crumbs",,
516,"1  grapefruit","grapefruit",,
517,"2  grapefruits","grapefruit",,
518,"1/4 cup grapefruit juice","grapefruit juice",,
519,"1/2 lb green beans (stems cut off)","green beans",,
520,"1/2 lb green beans (ends trimmed, chopped into bite-sized pieces)","green beans",,
521,"1 1/2 lbs green beans (ends trimmed  ( or frozen))","green beans",,
522,"1  green bell pepper (chopped)","bell pepper",,
523,"1  green bell pepper (diced)","bell pepper",,
524,"1  green chile (finely diced (optional))","green chilies",TRUE,
525,"1 4 oz can green chiles","green chilies",,
526,"1/2 cup green chiles (chopped (canned or fresh))","green chilies",,
527,"4  green chiles ((anaheim, hatch, poblanos or anything))","green chilies",,
528,"1/2 small green chili (finely chopped)","green chilies",,
529,"1 can of green chilies","green chilies",,
530,"1 small (4 oz) can green chilies (drained)","green chilies",,
531,"1  green pepper or green chile","green pepper",,
532,"1 cup grits","grits",,
533,"ground beef, turkey or pork instead of lentils and sausage","ground beef",,
534,"1 lb ground beef or other ground meat","ground beef",,
535,"stir fried ground beef or pork","ground beef",,
536,"1 lb ground pork or sausage (cooked or raw)","ground pork",,
537,"4 Tbsp honey","honey",,
538,"1 Tbsp honey","honey",,
539,"2 Tbsp honey","honey",,
540,"1/4 cup honey","honey",,
541,"1/2 cup honey","honey",,
542,"honey","honey",,
543,"squirt hot sauce","hot sauce",,
544,"1 tsp hot sauce","hot sauce",,
545,"1/2 tsp hot sauce","hot sauce",,
546,"hot sauce (to taste)","hot sauce",,
547,"1 cup hot water","Water",,
548,"1/4 cup hot water","Water",,
549,"ice","Water",,
550,"1/2 cup  +2 Tbsp ice water","Water",,
551,"4 to 6 Tbsp ice water","Water",,
552,"1/2 cup instant pistachio pudding mix","instant pistachio pudding mix",,
553,"1/2 tsp instant yeast","instant yeast",,
554,"1 Tbsp instant yeast","instant yeast",,
555,"1 tsp instant yeast","instant yeast",,
556,"1/2- 1 tsp instant yeast","instant yeast",,
557,"2 tsp instant yeast","instant yeast",,
558,"1  jalapeno","jalapenos",,
559,"1  jalapeno (finely diced (optional))","jalapenos",TRUE,
560,"1/2  jalapeno (finely diced)","jalapenos",,
561,"1 Tbsp jalapeno (finely chopped (optional))","jalapenos",TRUE,
562,"1  jalapeno (finely chopped)","jalapenos",,
563,"2  jalapeno (finely diced)","jalapenos",,
564," jalapeno (finely chopped)","jalapenos",,
565,"1  jalapeno (finely diced)","jalapenos",,
566,"1  jalapeno (finely chopped (optional))","jalapenos",TRUE,
567,"1/2  jalapeno (finely chopped (optional))","jalapenos",TRUE,
568,"1  jalapeno (finely sliced into half moons)","jalapenos",,
569,"jalapeno (sliced or pickled)","jalapenos",,
570,"2   jalapeño or chile pepper (finely chopped)","jalapenos",,
571,"1  jalapeño or chile pepper (finely chopped (or 2 Tbsp chile paste like sambal oelek))","jalapenos",,
572,"4  jalapenos (chopped)","jalapenos",,
573,"1/2 cup jelly or jam","jam",,
574,"1 bunch dinosaur or lacinato kale","kale",,
575,"1 bunch kale or spinach ","kale",,
576,"1 bunch lacinato or dinosaur kale","kale",,
